Date,China,Germany,Japan,United Kingdom,United States,World
2020-01-22,,,,,,0.00
2020-01-23,93.00,,0.00,,0.00,98.00
2020-01-24,277.00,,0.00,,1.00,286.00
2020-01-25,483.00,,0.00,,0.00,492.00
2020-01-26,666.00,,2.00,,3.00,685.00
2020-01-27,802.00,1.00,0.00,,0.00,809.00
2020-01-28,2632.00,3.00,3.00,,0.00,2651.00
2020-01-29,576.00,0.00,0.00,,1.00,589.00
2020-01-30,2054.00,0.00,4.00,,0.00,2068.00
2020-01-31,1659.00,1.00,4.00,2.00,2.00,1692.00
2020-02-01,2088.00,3.00,5.00,0.00,0.00,2111.00
2020-02-02,4737.00,2.00,0.00,0.00,0.00,4749.00
2020-02-03,3086.00,2.00,0.00,6.00,3.00,3100.00
2020-02-04,3989.00,0.00,2.00,0.00,0.00,4011.00
2020-02-05,3729.00,0.00,1.00,1.00,0.00,3745.00
2020-02-06,3144.00,0.00,0.00,0.00,1.00,3160.00
2020-02-07,3522.00,1.00,0.00,0.00,0.00,3593.00
2020-02-08,2703.00,0.00,1.00,4.00,0.00,2734.00
2020-02-09,3012.00,1.00,0.00,1.00,0.00,3030.00
2020-02-10,2516.00,0.00,2.00,0.00,0.00,2609.00
2020-02-11,2021.00,2.00,1.00,1.00,1.00,2042.00
2020-02-12,372.00,0.00,1.00,1.00,0.00,418.00
2020-02-13,15133.00,0.00,5.00,1.00,1.00,15153.00
2020-02-14,6460.00,0.00,10.00,1.00,0.00,6527.00
2020-02-15,2055.00,0.00,11.00,0.00,0.00,2143.00
2020-02-16,2099.00,0.00,6.00,0.00,0.00,2183.00
2020-02-17,1918.00,0.00,7.00,1.00,0.00,2035.00
2020-02-18,1775.00,0.00,12.00,0.00,0.00,1882.00
2020-02-19,407.00,0.00,6.00,1.00,0.00,500.00
2020-02-20,453.00,0.00,10.00,2.00,0.00,560.00
2020-02-21,473.00,0.00,17.00,1.00,2.00,629.00
2020-02-22,1450.00,0.00,25.00,0.00,0.00,1761.00
2020-02-23,16.00,0.00,12.00,5.00,0.00,380.00
2020-02-24,214.00,0.00,11.00,2.00,0.00,564.00
2020-02-25,508.00,1.00,13.00,4.00,0.00,853.00
2020-02-26,405.00,10.00,19.00,3.00,0.00,977.00
2020-02-27,433.00,19.00,26.00,7.00,1.00,1360.00
2020-02-28,326.00,2.00,18.00,12.00,0.00,1386.00
2020-02-29,427.00,31.00,9.00,5.00,8.00,1891.00
2020-03-01,575.00,51.00,14.00,33.00,7.00,2381.00
2020-03-02,200.00,29.00,19.00,40.00,23.00,1983.00
2020-03-03,125.00,37.00,20.00,55.00,19.00,2594.00
2020-03-04,120.00,66.00,35.00,57.00,33.00,2308.00
2020-03-05,151.00,220.00,32.00,49.00,77.00,2811.00
2020-03-06,151.00,188.00,55.00,79.00,53.00,3913.00
2020-03-07,79.00,129.00,46.00,55.00,166.00,4095.00
2020-03-08,47.00,241.00,33.00,54.00,116.00,3949.00
2020-03-09,36.00,136.00,28.00,147.00,75.00,4172.00
