Date,China,Germany,Japan,United Kingdom,United States,World
2020-01-22,,,,,,0.00
2020-01-23,1.00,,,,,1.00
2020-01-24,8.00,,,,,8.00
2020-01-25,16.00,,,,,16.00
2020-01-26,14.00,,,,,14.00
2020-01-27,26.00,,,,,26.00
2020-01-28,49.00,,,,,49.00
2020-01-29,2.00,,,,,2.00
2020-01-30,38.00,,,,,38.00
2020-01-31,42.00,,,,,42.00
2020-02-01,46.00,,,,,46.00
2020-02-02,102.00,,,,,103.00
2020-02-03,64.00,,,,,64.00
2020-02-04,65.00,,,,,66.00
2020-02-05,72.00,,,,,72.00
2020-02-06,70.00,,,,,70.00
2020-02-07,85.00,,,,,85.00
2020-02-08,87.00,,,,,87.00
2020-02-09,100.00,,,,,100.00
2020-02-10,107.00,,,,,107.00
2020-02-11,100.00,,,,,100.00
2020-02-12,5.00,,,,,5.00
2020-02-13,252.00,,1.00,,,253.00
2020-02-14,152.00,,0.00,,,152.00
2020-02-15,142.00,,0.00,,,143.00
2020-02-16,103.00,,0.00,,,104.00
2020-02-17,98.00,,0.00,,,98.00
2020-02-18,139.00,,1.00,,,140.00
2020-02-19,112.00,,0.00,,,115.00
2020-02-20,122.00,,0.00,,,125.00
2020-02-21,0.00,,0.00,,,4.00
2020-02-22,205.00,,0.00,,,207.00
2020-02-23,2.00,,0.00,,,11.00
2020-02-24,150.00,,0.00,,,160.00
2020-02-25,70.00,,1.00,,,80.00
2020-02-26,52.00,,0.00,,,61.00
2020-02-27,29.00,,1.00,,,43.00
2020-02-28,44.00,,1.00,,,59.00
2020-02-29,47.00,,1.00,,1.00,69.00
2020-03-01,35.00,,0.00,,0.00,54.00
2020-03-02,42.00,,0.00,,5.00,89.00
2020-03-03,33.00,,0.00,,1.00,75.00
2020-03-04,36.00,,1.00,,4.00,95.00
2020-03-05,32.00,,0.00,,1.00,94.00
2020-03-06,29.00,,0.00,1.00,2.00,111.00
2020-03-07,28.00,,0.00,1.00,3.00,104.00
2020-03-08,27.00,,1.00,0.00,4.00,239.00
2020-03-09,23.00,2.00,2.00,1.00,1.00,190.00
2020-03-10,16.00,0.00,3.00,4.00,6.00,274.00
2020-03-11,22.00,1.00,2.00,0.00,5.00,344.00
2020-03-12,11.00,0.00,4.00,2.00,10.00,306.00
2020-03-13,7.00,4.00,2.00,1.00,8.00,497.00
2020-03-14,13.00,2.00,1.00,19.00,7.00,420.00
2020-03-15,10.00,2.00,2.00,14.00,12.00,636.00
2020-03-16,14.00,6.00,6.00,23.00,27.00,683.00
2020-03-17,13.00,7.00,0.00,17.00,37.00,813.00
