PERMNO,date,PRC
14593,20190102,157.92
14593,20190103,142.19
14593,20190104,148.25999
14593,20190107,147.92999
14593,20190108,150.75
14593,20190109,153.31
14593,20190110,153.8
14593,20190111,152.28999
14593,20190114,150
14593,20190115,153.07001
14593,20190116,154.94
14593,20190117,155.86
14593,20190118,156.82001
14593,20190122,153.3
14593,20190123,153.92
14593,20190124,152.7
14593,20190125,157.75999
14593,20190128,156.3
14593,20190129,154.67999
14593,20190130,165.25
14593,20190131,166.44
14593,20190201,166.52
14593,20190204,171.25
14593,20190205,174.17999
14593,20190206,174.24001
14593,20190207,170.94
14593,20190208,170.41
14593,20190211,169.42999
14593,20190212,170.89
14593,20190213,170.17999
14593,20190214,170.8
14593,20190215,170.42
14593,20190219,170.92999
14593,20190220,172.03
14593,20190221,171.06
14593,20190222,172.97
14593,20190225,174.23
14593,20190226,174.33
14593,20190227,174.87
14593,20190228,173.14999
14593,20190301,174.97
14593,20190304,175.85001
14593,20190305,175.53
14593,20190306,174.52
14593,20190307,172.5
14593,20190308,172.91
14593,20190311,178.89999
14593,20190312,180.91
14593,20190313,181.71001
14593,20190314,183.73
14593,20190315,186.12
14593,20190318,188.02
14593,20190319,186.53
14593,20190320,188.16
14593,20190321,195.09
14593,20190322,191.05
14593,20190325,188.74001
14593,20190326,186.78999
14593,20190327,188.47
14593,20190328,188.72
14593,20190329,189.95
14593,20190401,191.24001
14593,20190402,194.02
14593,20190403,195.35001
14593,20190404,195.69
14593,20190405,197
14593,20190408,200.10001
14593,20190409,199.5
14593,20190410,200.62
14593,20190411,198.95
14593,20190412,198.87
14593,20190415,199.23
14593,20190416,199.25
14593,20190417,203.13
14593,20190418,203.86
14593,20190422,204.53
14593,20190423,207.48
14593,20190424,207.16
14593,20190425,205.28
14593,20190426,204.3
14593,20190429,204.61
14593,20190430,200.67
14593,20190501,210.52
14593,20190502,209.14999
14593,20190503,211.75
14593,20190506,208.48
14593,20190507,202.86
14593,20190508,202.89999
14593,20190509,200.72
14593,20190510,197.17999
14593,20190513,185.72
14593,20190514,188.66
14593,20190515,190.92
14593,20190516,190.08
14593,20190517,189
14593,20190520,183.09
14593,20190521,186.60001
14593,20190522,182.78
14593,20190523,179.66
14593,20190524,178.97
14593,20190528,178.23
14593,20190529,177.38
14593,20190530,178.3
14593,20190531,175.07001
14593,20190603,173.3
14593,20190604,179.64
14593,20190605,182.53999
14593,20190606,185.22
14593,20190607,190.14999
14593,20190610,192.58
14593,20190611,194.81
14593,20190612,194.19
14593,20190613,194.14999
14593,20190614,192.74001
14593,20190617,193.89
14593,20190618,198.45
14593,20190619,197.87
14593,20190620,199.46001
14593,20190621,198.78
14593,20190624,198.58
14593,20190625,195.57001
14593,20190626,199.8
14593,20190627,199.74001
14593,20190628,197.92
14593,20190701,201.55
14593,20190702,202.73
14593,20190703,204.41
14593,20190705,204.23
14593,20190708,200.02
14593,20190709,201.24001
14593,20190710,203.23
14593,20190711,201.75
14593,20190712,203.3
14593,20190715,205.21001
14593,20190716,204.5
14593,20190717,203.35001
14593,20190718,205.66
14593,20190719,202.59
14593,20190722,207.22
14593,20190723,208.84
14593,20190724,208.67
14593,20190725,207.02
14593,20190726,207.74001
14593,20190729,209.67999
14593,20190730,208.78
14593,20190731,213.03999
14593,20190801,208.42999
14593,20190802,204.02
14593,20190805,193.34
14593,20190806,197
14593,20190807,199.03999
14593,20190808,203.42999
14593,20190809,200.99001
14593,20190812,200.48
14593,20190813,208.97
14593,20190814,202.75
14593,20190815,201.74001
14593,20190816,206.5
14593,20190819,210.35001
14593,20190820,210.36
14593,20190821,212.64
14593,20190822,212.46001
14593,20190823,202.64
14593,20190826,206.49001
14593,20190827,204.16
14593,20190828,205.53
14593,20190829,209.00999
14593,20190830,208.74001
14593,20190903,205.7
14593,20190904,209.19
14593,20190905,213.28
14593,20190906,213.25999
14593,20190909,214.17
14593,20190910,216.7
14593,20190911,223.59
14593,20190912,223.08501
14593,20190913,218.75
14593,20190916,219.89999
14593,20190917,220.7
14593,20190918,222.77
14593,20190919,220.96001
14593,20190920,217.73
14593,20190923,218.72
14593,20190924,217.67999
14593,20190925,221.03
14593,20190926,219.89
14593,20190927,218.82001
14593,20190930,223.97
14593,20191001,224.59
14593,20191002,218.96001
14593,20191003,220.82001
14593,20191004,227.00999
14593,20191007,227.06
14593,20191008,224.39999
14593,20191009,227.03
14593,20191010,230.09
14593,20191011,236.21001
14593,20191014,235.87
14593,20191015,235.32001
14593,20191016,234.37
14593,20191017,235.28
14593,20191018,236.41
14593,20191021,240.50999
14593,20191022,239.96001
14593,20191023,243.17999
14593,20191024,243.58
14593,20191025,246.58
14593,20191028,249.05
14593,20191029,243.28999
14593,20191030,243.25999
14593,20191031,248.75999
14593,20191101,255.82001
14593,20191104,257.5
14593,20191105,257.13
14593,20191106,257.23999
14593,20191107,259.42999
14593,20191108,260.14001
14593,20191111,262.20001
14593,20191112,261.95999
14593,20191113,264.47
14593,20191114,262.64001
14593,20191115,265.76001
14593,20191118,267.10001
14593,20191119,266.29001
14593,20191120,263.19
14593,20191121,262.01001
14593,20191122,261.78
14593,20191125,266.37
14593,20191126,264.29001
14593,20191127,267.84
14593,20191129,267.25
14593,20191202,264.16
14593,20191203,259.45001
14593,20191204,261.73999
14593,20191205,265.57999
14593,20191206,270.70999
14593,20191209,266.92001
14593,20191210,268.48001
14593,20191211,270.76999
14593,20191212,271.45999
14593,20191213,275.14999
14593,20191216,279.85999
14593,20191217,280.41
14593,20191218,279.73999
14593,20191219,280.01999
14593,20191220,279.44
14593,20191223,284
14593,20191224,284.26999
14593,20191226,289.91
14593,20191227,289.79999
14593,20191230,291.51999
14593,20191231,293.64999
