gvkey,iid,datadate,tic,prccd
147579,01,20100104,NFLX,53.4800
147579,01,20100105,NFLX,51.5100
147579,01,20100106,NFLX,53.3200
147579,01,20100107,NFLX,52.4000
147579,01,20100108,NFLX,53.3000
147579,01,20100111,NFLX,53.2300
147579,01,20100112,NFLX,52.3700
147579,01,20100113,NFLX,53.9600
147579,01,20100114,NFLX,50.9900
147579,01,20100115,NFLX,50.9500
147579,01,20100119,NFLX,51.2000
147579,01,20100120,NFLX,51.2400
147579,01,20100121,NFLX,51.1900
147579,01,20100122,NFLX,50.8900
147579,01,20100125,NFLX,49.1300
147579,01,20100126,NFLX,49.9500
147579,01,20100127,NFLX,50.9700
147579,01,20100128,NFLX,63.0400
147579,01,20100129,NFLX,62.2500
147579,01,20100201,NFLX,61.0300
147579,01,20100202,NFLX,61.8500
147579,01,20100203,NFLX,61.9500
147579,01,20100204,NFLX,60.3400
147579,01,20100205,NFLX,60.8400
147579,01,20100208,NFLX,60.9000
147579,01,20100209,NFLX,62.1300
147579,01,20100210,NFLX,61.4900
147579,01,20100211,NFLX,63.3600
147579,01,20100212,NFLX,63.1800
147579,01,20100216,NFLX,64.8600
147579,01,20100217,NFLX,64.5100
147579,01,20100218,NFLX,66.1000
147579,01,20100219,NFLX,66.6500
147579,01,20100222,NFLX,65.2700
147579,01,20100223,NFLX,64.3500
147579,01,20100224,NFLX,64.6900
147579,01,20100225,NFLX,65.6100
147579,01,20100226,NFLX,66.0500
147579,01,20100301,NFLX,69.7000
147579,01,20100302,NFLX,68.9800
147579,01,20100303,NFLX,67.5500
147579,01,20100304,NFLX,68.0100
147579,01,20100305,NFLX,67.6500
147579,01,20100308,NFLX,68.6800
147579,01,20100309,NFLX,69.9400
147579,01,20100310,NFLX,71.2800
147579,01,20100311,NFLX,71.1900
147579,01,20100312,NFLX,69.9800
147579,01,20100315,NFLX,69.6000
147579,01,20100316,NFLX,70.6300
147579,01,20100317,NFLX,70.9200
147579,01,20100318,NFLX,70.5400
147579,01,20100319,NFLX,70.4500
147579,01,20100322,NFLX,72.8900
147579,01,20100323,NFLX,72.9600
147579,01,20100324,NFLX,72.3700
147579,01,20100325,NFLX,73.5400
147579,01,20100326,NFLX,74.3000
147579,01,20100329,NFLX,73.9000
147579,01,20100330,NFLX,75.0600
147579,01,20100331,NFLX,73.7400
