SYMBOL,DATE,TIME,PRICE,SIZE,COND,EX
AAPL,20130201,9:30:00,459.41,100,@F,Q
AAPL,20130201,9:30:00,459.48,136,@F,Q
AAPL,20130201,9:30:00,459.44,100,@F,P
AAPL,20130201,9:30:00,459.45,200,@F,P
AAPL,20130201,9:30:00,459.25,100,@F,P
AAPL,20130201,9:30:00,459.11,500,,D
AAPL,20130201,9:30:00,459.15,100,,Z
AAPL,20130201,9:30:00,459.14,100,,Z
AAPL,20130201,9:30:00,459.12,100,,Z
AAPL,20130201,9:30:00,459.12,200,@F,Z
AAPL,20130201,9:30:00,459.12,100,,Z
AAPL,20130201,9:30:00,459.12,374,,Z
AAPL,20130201,9:30:00,459.12,100,,D
AAPL,20130201,9:30:00,459.33,113008,@O,Q
AAPL,20130201,9:30:00,459.33,113008,Q,Q
AAPL,20130201,9:30:00,459.32,100,@F,Q
AAPL,20130201,9:30:00,459.32,100,@F,Q
AAPL,20130201,9:30:00,459.33,100,,Q
AAPL,20130201,9:30:00,459.34,100,,Q
AAPL,20130201,9:30:00,459.3,100,@F,Q
AAPL,20130201,9:30:00,459.3,350,@F,Q
AAPL,20130201,9:30:00,459.3,500,@F,Q
AAPL,20130201,9:30:00,459.26,100,@F,Q
AAPL,20130201,9:30:00,459.25,364,@F,Q
AAPL,20130201,9:30:00,459.18,100,@F,B
AAPL,20130201,9:30:00,459.12,100,@F,B
AAPL,20130201,9:30:00,459.4,100,Q,P
AAPL,20130201,9:30:00,459.4,100,@F,P
AAPL,20130201,9:30:00,459.22,100,@F,P
AAPL,20130201,9:30:00,459.26,100,@F,Q
AAPL,20130201,9:30:00,459.27,100,@F,Q
AAPL,20130201,9:30:00,459.41,100,@F,Q
AAPL,20130201,9:30:00,459.18,100,@F,Q
AAPL,20130201,9:30:00,459.15,230,@F,Q
AAPL,20130201,9:30:00,459.15,100,@F,Q
AAPL,20130201,9:30:00,459.15,100,@F,B
AAPL,20130201,9:30:00,459.16,100,@F,B
AAPL,20130201,9:30:00,459.14,100,@F,B
AAPL,20130201,9:30:00,459.12,100,@F,B
AAPL,20130201,9:30:00,459.15,100,@F,P
AAPL,20130201,9:30:00,459.12,100,@F,P
AAPL,20130201,9:30:00,459.12,100,@F,P
AAPL,20130201,9:30:00,459.12,100,@F,P
AAPL,20130201,9:30:00,459.11,100,@F,P
AAPL,20130201,9:30:00,459.11,200,@F,Q
AAPL,20130201,9:30:00,459.1,100,@F,Q
AAPL,20130201,9:30:00,459.1,100,@F,P
AAPL,20130201,9:30:00,459.1,100,@F,P
AAPL,20130201,9:30:00,459.1,100,@F,P
AAPL,20130201,9:30:00,459.4499,100,,D
AAPL,20130201,9:30:00,459.07,100,@F,Q
AAPL,20130201,9:30:00,459.06,100,@F,P
AAPL,20130201,9:30:00,459.01,200,@F,Q
AAPL,20130201,9:30:00,459.1,100,@F,K
AAPL,20130201,9:30:00,459.1,100,@F,K
AAPL,20130201,9:30:00,459,100,,K
AAPL,20130201,9:30:00,459,170,@F,K
AAPL,20130201,9:30:00,459.34,100,@F,B
AAPL,20130201,9:30:00,459.35,100,@F,K
AAPL,20130201,9:30:00,459.36,150,@F,Q
AAPL,20130201,9:30:00,459.36,300,@F,Q
AAPL,20130201,9:30:00,459.38,100,@F,Q
AAPL,20130201,9:30:00,459.38,200,@F,Q
AAPL,20130201,9:30:00,459.35,100,,D
AAPL,20130201,9:30:00,459.36,300,@F,K
AAPL,20130201,9:30:00,459.37,100,@F,K
AAPL,20130201,9:30:00,459.23,100,@F,Q
AAPL,20130201,9:30:00,459.32,100,@F,Q
AAPL,20130201,9:30:00,459.16,100,@F,Q
AAPL,20130201,9:30:00,459.42,100,@F,Q
AAPL,20130201,9:30:00,459.305,100,,D
AAPL,20130201,9:30:00,459.47,300,@F,Q
